0,1
Comments,"""Thick bands/patches of chert and magnetite, quite a lot of chlorite associated with the magnetite"""
Description,Thick barren Avqt/Ach band
Comments,Thick barren qtz vein
Comment,Thick bedded cherts
Comment,"""THICK BEDDED MT, FOLDED, MICROFAULT"""
Comment,Thick bedded per si - se altd silt lense.
Comment,Thick bedded quartzite
Comment,Thick bedded quartzite grade to chert
Comments,thick bedded to well laminated; dark grey to greenish grey shale sequence; pyrite on fractures; occasional recognizable amphibole poikiloblast ; with local quartz vein zones to 30cm wide with abundant host rock inclusions; 
Comment,Thick bedding
Comment,"""Thick bedding (~1cm) with irregular beds, Si spotting to 1mm"""
Comments,thick black clays
Comments,thick black-grey clays
Description,Thick carbonate vein
Comment,THICK CH ALT WITH TUF AND TB MT
Comments,"""Thick CH and SH-MT bands, minor mm-scale PO bands"""
Comments,Thick CH band
Description,Thick CH band containing minor AM-MT-CL wispy bands
Comments,"""Thick CH bands common (still part of felsic volcanic package), Fw contact= ~166.4m"""
Comments,"""Thick CH-dominant with minor SH-MT bands, silver sulphide (black streak) present (trace)"""
Comment,"""Thick chrt and si alt silt layers, py and sph mineralisation. Lower contact, deformed by qtz carb vein."""
Comment_2,thick clays min alluv qtz sand pisoliths+lithics
Comment_2,thick clays minor alluvium
Comment_2,thick clays minor qtz sand + lithics
Comment_2,"""thick clays minor qtz sand, pisoliths+lithics"""
Comments,"thick clays minor qtz sand, pisoliths+lithics"
Comments,thick clays minor sand + pisoliths
Comment_2,"""thick clays, minor silt-sand"""
Comments,"thick clays, minor silt-sand"
Comments,thick clays + minor transported material
Comment_2,thick clays with minor qtz sand
Comment,Thick coherent veins
Comments,Thick cryptocrystalline silica interval
Comments,thick dark grey clays
Comments,thick duricrust
Comments,"""Thicker bands of chert and hematite, minor magnetite, some patches of more goethitic material and clays, quite broken in places. """
Comment,THICKER BANDS OF MT
COMMENTS,thicker bands of silica
COMMENTS,thicker bands of silica (2-20mm) alternating with mafics. 80% mag in mafics. Moderately siliceous
COMMENTS,thicker bands of silica (2-24mm) alternating with mafics. Qtz veins at 400.67m; 400.78m; 400.85-400.87m
Comment,Thicker bedded (locally banded)
Comment,thicker bedded with depth
COMMENTS,"""thicker mafic banding ( (2-6mm), weakly siliceous. Sub-vertical qtz vein at 368.7-369.42m (1mm displacement). Sub-vertical fracture at 374.52-374.58m. Qtz vein at 373.76-373.78m with pyrite. Minor folding."""
comments,thicker MBF possibly intrusive 213.6-213.83m
Comments,"""thicker quartz bands, vuggy core in patches slightly better recover than previous"""
COMMENTS,"""Thicker silica bands (3-6mm), thinner mafic bands (1-2mm). Dark layers are very finely brecciated"""
COMMENTS,"""thicker silica bands (4-6mm), thinner magnetite rich bands (1-3mm) @ 369.35-370.11m, multiple displacement 1-3mm, with mafic intrusion & qzvn 370-370.63m, green grey mafic intrusion"""
Comments,Thickest massive-MT zone of hole
Description,"""Thick GA-bearing Asg bands present, non-magnetic"""
Comment,"""THICK INTERVAL OF TUFF IN BMC, BRECCIA, MICROFAULT"""
Comment,"""THICK INTERVAL OF TUFF WITH GARNET IN BMC, MICROFAULT"""
Comment,"""THICK INTERVAlS OF TUFF IN BMC, FOLDED MICROFAULT"""
Comments,Thickish blue veins within fault zone?
Comments,THICK LAT PROF. PARTIAL CONS.
Description,Thick leucocratic/mesocratic cyclic banding
COMMENTS,"""thickly bed (<10mm) alternate bands of silica and magnetite with mafic layers. Mafic bands appear show occ. boudinaging and in-situ breccia, with slivers of carbonate ."""
COMMENTS,"""thickly bed (2-4mm), very weak rxn with HCL"""
COMMENTS,"""thickly bed (5-10mm), qtz veining at 213.48m; 213.71; 213.73m"""
COMMENTS,"""thickly bed (5-10mm), weak rxn with HCL"""
COMMENTS,thickly bed (5-15mm)
COMMENTS,"""thickly bed (8mm), in-situ breccia at 154.81-155m, weak rxn with HCL"""
COMMENTS,"""thickly bed (8mm), weak rxn with HCL"""
COMMENTS,"""thickly bedded BIF band @ 354.77-354.80m with 50% mag.), sub-vertical fracture @ 358.19-358.42m, with occasional qzvn (4mm)"""
Comment,Thickly bedded clt alt slst.  Occas strong-intense clt alt bands
Comment,Thickly bedded mod indurated fg to vfg goe clays aft sulp rich sandy slst? With small (<0.5m ) vuggy cherty bands throughout.
Comments,Thickly bedded quartz hematite Sif; very vughy
Comments,Thickly bedded quartz hematite Sif; very vughyMajor core loss/cavity 118.9 ; 119.95
