0,1
Comments,"Lc,Lk"
Lith_Desc,Lc maybealluvialcavityinfill
Lith_Desc,Lcp
Lith_Desc,Lcp clayey
Comment,"""L CR,GR, BR COL, RSP-U/M FOS."""
Comment,"""l cr, oc bn col sap. clays"""
Comment,"""l cr, o to pl col saprolitic clays."""
Comments,Lc sediment possibly goethitic secondary fe
Comment,Lc shows flow? textures
Comment,L C TO OC COL CLAYS.
Gen_Desc2,LCX
Comment,lcx AT 1683
Lith_Desc,Lc/x of schist
Lith_Desc,Lc yellow due to Li
Comments,LCZ OR LSAP AFTER PSAMMITE - MINOR QTZ SAND GRAINS IN WHITE CLAY
Desc21,LEA
Comments,leache/bleached umafic
Lith_Desc,leached
Comments,leached appearance - lith contact
Lith_Desc,leached bands
Comments,leached/bleached tlc rock with minor vein qtz
Comments,leached / bleached Umafic with asp sulphides 
comments,Leached chlorite?
Comments,leached clay
Description,Leached clay; minor mottling
Description,Leached clay; possibly mafic
Comments,leached clays
Comment_2,leached clay sap
Lith_Desc,leached clays & qz frags
Comments,"leached clays, upper saprolite"
Comments,"leached clays, upper saprolite, cream to white to pale grey"
Comments,"leached clays, upper saprolite, tan to cream"
Comments,"leached clays, upper saprolite, tan to cream, rare foliated saprock"
Comments,leached cly
Comments,leached cly kaol rich
Comments,leached clys
Comments,leached cm and rdbr saprolite 
Description,Leached gritty clay
Description,Leached gritty clay; very wet
Comment_2,leached hard sap clays
Description,Leached indurated clay
Lith_Desc,leached ka clay+q phenocrysts
Lith_Desc,leached ka+q phenocrysts
Comment_2,leached mafic sap
Comments,leached pale colouration weak chl alt
Comments,leached pallid zone
Lith_Desc,"leached,q phenocrysts+ka"
Description,Leached quartz grit clay
Description,Leached quartz grit clay; damp
Description,Leached quartz grit clay; granitic
Description,Leached quartz grit clay; minchips of black goethite alteration
Description,Leached quartz grit clay.  Wet from 24m
Description,Leached quartz grit/kaolin clay
Lith_Desc,leached +qz stringers
Comments,leached sap
Comments,"leached sap, altered to clay"
Comment_2,leached sap clays
Comments,leached sap clays + trace ironstone and sugary qz
Comment_2,leached saprolite with rare goe pisolites and ferrugenous saprock
Comments,leached sap + smoky qz
Comment_2,leached sap with hem
