0,1
Comments,"mottled sap clays, ferrug"
Description,Mottled saprock
COMMENTS,mottled saprolite
Comments,"""""""""""""""Mottled saprolite"""""""
Comments,Mottled saprolite
Comments,Mottled Saprolite
description, MOTTLED SAPROLITE 
Comments,MOTTLED SAPROLITE
COMMENTS,Mottled saprolite clay
Comments,Mottled saprolite clays
Comment_2,"""mottled saprolite clays, contaminated"""
Comments,"mottled saprolite clays, contaminated"
Lith_Desc,"Mottled saprolite, possible cover"
Comments,Mottled saprolite - silcretised
Comments,mottled saprolite + surface loamy clays
Comments,mottled saprolite zone
Comments,Mottled saprolite zone
Comments,mottled saprolite zone - weathered mafic host?
Comments,mottled saprolitic clays
Comments,"mottled sap, trace qvn"
PRIM_DESCP,MOTTLED SAPY
Lith_Comment,Mottled silcrete
Lith_Comment,Mottled silcrete.
Lith_Comment,Mottled Silcrete at base of alluvial
Comment,"""MOTTLED SILCRETE, OCCASIONAL PISO"""
Comments,MOTTLED SILICIFIED
Comments,"""mottled, silicified, sandstone or felsic volcanics?"""
Comments,"""mottled, slighly gritty saprolitic clays"""
Comment_2,mottled smectite clays+minor calcrete pods
Comment,"""mottled/spotted appearence, poss mafic parent? EOH."""
Comments,"mottled/spotted appearence, poss mafic parent? EOH."
Comments,Mottled stiff grey sandy clay
Comments,"mottled, strongly magnetic"
COMMENTS,Mottled tan grey clays
COMMENTS,Mottled tan-grey fine grained sandy clays
COMMENTS,Mottled Tertiary clay/gravel zone +/- sand
COMMENTS,mottled Tertiary clays
COMMENTS,Mottled Tertiary clays and gravel
COMMENTS,Mottled Tertiary clays + gravels
Lith_Desc,Mottled textureless pale cream and brown sap
Comments,mottled to pallid zone some secondary qtz
Comments,mottled t'ported clays
Comment,mottled t'ported?clays
Comment,mottled t'ported? clays
Comment,"""mottled t'ported clays, mod silicified"""
Comments,"mottled t'ported clays, mod silicified"
Comment,mottled t'ported clays (rndd iron lag obsvd)
Comments,mottled t'ported? clays with ferruginous nodules
Comment,mottled t'ported clays with iron lag & pisolites
COMMENTS,MOTTLED TRANSPORTED CLAY
COMMENTS,MOTTLED TRANSPORTED PROFILE
COMMENTS,MOTTLED? TRANSPORTED PROFILE
Comment,"""Mottled txt from alt. Poss flow banded, silica alt only in first 0-5m, 2-5mm qtz pheno's all rounded, grad contact w/ next unit."""
Description,Mottled variably calcreted clay
Description,Mottled variably calcreted quartz grit clay
Comments,"mottled, varicolored laterite derived from UUN"
Comments,mottled varicolored saprolitic bedrock
Comments,"mottled, varicolored white, red, brown"
Comment,"""mottled, waxy, t'ported clays"""
Comments,"mottled, waxy, t'ported clays"
Description,Mottled weathered f-mg granite
Description,Mottled weathered mg granite; biotitic
Comments,Mottled weathered zone abundant iron staining
Comments,Mottled WH clays and silica
Comments,"mottled white, brown, yellow"
Comments,mottled white / pink / yellowish stainedwith quartz fragments and broken bedrock
Comments,mottled white quartz
Comments,mottled white to pale orangish; weak acid reaction; with wall rock inclusions; cross cutting irregular contacts
Comments,mottled; with abundant clasts in clay matrix; softish; light grey clay rich matrix
Comment,"""Mottled with hematite and limonite staining, bleached in part, minor vugs, pebbly base"""
Comments,mottled; with irregular wisps of greenish actinolitic shales ; with abundant disseminated; vein and blebby pyrrhotite mineralisation; pyrrhotite is magnetic
Comments,mottled yellow/brown
Comments,MOTTLED YELLOW / BROWN
Comments,"mottled yellow, brown and grey laterite pieces"
Comments,mottled yellow / brown laterite chips
Comments,mottled zone
Comments,mottled zone  
Comments,mottled Zone
Description,Mottled zone
Comments,Mottled zone.
description,MOTTLED ZONE CLAYS.
Comments,"MOTTLED ZONE CLAYS, MINOR HEMATITE"
