0,1
Comment,fgn ssm and fgn phylitic fos meta-mv
Comments,FGN TA RICH U
Comment_2,FGN TO MGN CARBONATED - CHLORITIZED MAFIC
Comment_2,FGN TO MGN FRESH MAFIC WITH DISSEMINATED SULPHIDES
Comments,FGN TO MGN MAFIC
Comment_2,FGN TO MGN MAFIC/BASALT WITH TRACES OF DISSEMINATED SULPHIDES
Comments,FGN TO MGN MAFIC - VARIABLY ALTERED
Comments,FGN TO MGN MAFIC WITH FAIRLY ABDT PO
Comments,FGN TO MGN MAFIC WITH QZ STRINGERS & TRACES OF DS S
Comments,FGN TO MGN M WITH ABDT PINK CHERT FRAGS
Comment_2,FGN TO MGN RELATIVELY FRESH MAFIC
COMMENTS,FGN TRANSPORTED CLAYEY SAND
COMMENTS,FGN TRANSPORTED SAND
Comment,"""FG, partially foliated basaltic saprock"""
Comment,FG PER S CLY
Comment,"""f.g perv si alt lam to thinly bedded to crackle bx slst; very minor clt +/- talc alt; stringer sulphides predom py with minor sp, ccp, gn"""
Comment,Fg pheno poor fb rhd
Lith_Desc,fg ph in LsFi&MgO altered Ls
Lith_Desc,fg +phlog+se
Lith_Desc,FG PORPH PH IN VFG GROUNDMASS
Major Desc,fg post deformation dolerite dyke. EOH at 594m.
Major Desc,"""fg, ptly altd metabasalt."""
Comment,"""Fg pum Sdst and Slst , chl rich bands."""
Comment,fg pum shards - felted
COMMENT,FG PY
COMMENT,FG  PY
COMMENT,FG PY IN VEIN
COMMENT,FG PYRITE
Description/Notes,FG pyrite disseminated within the MX
Lith_Desc,fg.Qa;Lp at base
Comments,FG QDOL BUCK Q MIN SULP
Description,F/G Qtz-musc phyllite / schist
Comment_2,"""fg qtz sandy clays, well sorted, minor pisoliths"""
Comments,"fg qtz sandy clays, well sorted, minor pisoliths"
Comment_2,"""fg qtz sandy clays, well sorted thick grey clays"""
Comments,"fg qtz sandy clays, well sorted thick grey clays"
Description,"""F/g qtz-schist, ~TOFR"""
Comments,fg qtz vein displaying moderate Fer minerals  
Comment_2,fg qtz veined brecciated
Lith_Desc,fg quartz mica schist on sediment?
Comments,FGR
comments,f grained dissem py 5%
comments,"""f grained, intense alt (30%); py 1-2%; minor glassy qtz"""
comments,"""f grained, intense alt (30%); py 1-2%; minor glassy qtz; dark red mineral ?garnet."""
Comments,F.GRAINED MAFICS?
Comments,FGR BASALT
comments,"f gr, blk px-amph peridotite"
Comments,FGR colourless amphbolite
Comments,FGR colourless/pale green amphibole
Lith_Desc,fg remnant qz in fg felsic gm
Comments,FGR INC. MAFICS
Comments,fgr mafic with patchy carb/chlorite alteration and minor cp min
Comment,Fgr massive Rhy deformed qtz-carb veining throughout. Minor qtz spots and carb spots in wi per sericite g'mass.
COMMENTS,fgrnd banded dunite?
Lith_Desc,fg rock+phlogo
Comment,"""fgr Rhy w/minor slst, qzca veining throughout."""
Comments,fgr silicified dolerite with associated chert?
Comments,"""fgr, sl sugary texture, tr car-sche vn and dis"""
Comments,fgr volcanic breccia
Lith_Desc,fg sacharoidal quartz
Comments,fg sandstone int bed w Au schist?
Comments,"""fg sandstone int bed w Au schist?, slightly cly'"""
Comments,"""fg sandstone, str qtz"""
