Company_ID,CollarID,Fromdepth,Todepth,Company_Lithocode,Company_Lithology,CET_Lithology,Score,Comment,CET_Comment,Comment_Score,
4162,928380,0,1.0,,,,0,LITHICS YELLOW CHIPS,Other,50,
4162,928372,0,1.0,,,,0,LITHICS VC-Q AND TRASH,Other,56,
4162,1380737,0,3.0,,,,0,2200M WST OF BRAND MUDGE RD,Other,44,
4162,1380737,0,3.0,,,,0,2200M WST OF BRAND MUDGE RD,Other,44,
4162,2303746,0,1.0,,,,0,CALCRETE? FERRU CLAY?,mud,101,
4162,2289870,0,3.0,,,,0,TOP OF SAND DUNE,dune,101,
4162,2289870,0,3.0,,,,0,TOP OF SAND DUNE,dune,101,
4162,2303748,0,1.0,,,,0,CALCIC FE-CLAY???,mud,101,
4162,928679,0,1.0,,,,0,Est HM incorrectly keyed,Other,44,
4162,928679,0,1.0,,,,0,Est HM incorrectly keyed,Other,44,
4162,928358,0,1.0,,,,0,CALCRETE? FERRU CLAY?,mud,101,
5301,1633559,0,2.0,,,,0,highly oxidised Poorly sorted quartz arenite,sandstone,101,
5301,1633559,0,2.0,,,,0,highly oxidised Poorly sorted quartz arenite,sandstone,101,
4162,2320716,0,1.0,,,,0,,,0,
4162,2309021,0,1.5,,,,0,,,0,
112,1514660,0,3.0,,,,0,,,0,
4162,2288600,0,1.5,,,,0,,,0,
3053,601457,0,1.0,Qts,transported cover dep sand,bioclastic,101,,,0,
3816,2854303,0,1.0,,,,0,,,0,
4162,2303713,0,1.0,,,,0,,,0,
112,1514663,0,4.0,,,,0,,,0,
3053,304990,0,100.0,Qts,transported cover dep sand,bioclastic,101,,,0,
4162,928702,0,1.0,,,,0,,,0,
4162,932394,0,1.0,,,,0,,,0,
4162,928484,0,1.0,,,,0,,,0,
4162,2317686,0,1.0,,,,0,,,0,
4162,2288606,0,1.5,,,,0,,,0,
4162,932433,0,1.0,,,,0,,,0,
4162,2317551,0,1.0,,,,0,,,0,
4162,230331,0,1.0,,,,0,,,0,
4162,2317634,0,1.0,,,,0,,,0,
551,1764505,0,5.0,CNG,Canga,Other,60,,,0,
4162,2319398,0,1.0,,,,0,,,0,
112,803725,0,1.0,,,,0,,,0,
4162,928425,0,1.0,,,,0,,,0,
4162,2303716,0,1.0,,,,0,,,0,
4162,928516,0,1.0,,,,0,,,0,
3053,601473,0,1.0,,,,0,,,0,
4162,224415,0,1.0,,,,0,,,0,
551,1660917,0,1.0,,,,0,,,0,
551,1764574,0,7.0,,,,0,,,0,
551,1764513,0,1.0,,,,0,,,0,
4162,2319374,0,1.0,,,,0,,,0,
