Company_ID,CollarID,Fromdepth,Todepth,Company_Lithocode,Company_Lithology,CET_Lithology,Score,Comment,CET_Comment,Comment_Score,
15,3184703,0,6.0,,,,0,,,0,
15,3184703,0,6.0,,,,0,,,0,
15,3184460,14,15.0,,,,0,,,0,
15,3184402,7,75.0,,,,0,,,0,
15,3184460,14,15.0,,,,0,,,0,
15,3184402,7,75.0,,,,0,,,0,
15,3184698,30,33.0,,,,0,,,0,
15,3184698,30,33.0,,,,0,,,0,
15,3184411,52,60.0,,,,0,,,0,
15,3184411,52,60.0,,,,0,,,0,
15,3184687,10,23.0,,,,0,,,0,
15,3184687,10,23.0,,,,0,,,0,
15,3184630,44,56.0,,,,0,,,0,
15,3184630,44,56.0,,,,0,,,0,
15,3184468,38,46.0,,,,0,,,0,
15,3184468,38,46.0,,,,0,,,0,
15,3184702,2,30.0,,,,0,,,0,
15,3184466,0,17.0,,,,0,,,0,
15,3184459,13,16.0,,,,0,,,0,
15,3184459,13,16.0,,,,0,,,0,
15,3184702,2,30.0,,,,0,,,0,
15,3184536,46,47.0,,,,0,,,0,
15,3184536,46,47.0,,,,0,,,0,
15,3184466,0,17.0,,,,0,,,0,
15,3184771,62,65.0,,,,0,,,0,
15,3184771,62,65.0,,,,0,,,0,
15,3184781,0,30.0,,,,0,,,0,
15,3184781,0,30.0,,,,0,,,0,
15,3184446,59,62.0,,,,0,,,0,
15,3184446,59,62.0,,,,0,,,0,
15,3184447,0,13.0,,,,0,,,0,
15,3184447,0,13.0,,,,0,,,0,
15,3184582,0,2.0,,,,0,,,0,
15,3184582,0,2.0,,,,0,,,0,
15,3184505,14,24.0,,,,0,,,0,
15,3184659,0,69.0,,,,0,,,0,
15,3184659,0,69.0,,,,0,,,0,
15,3184505,14,24.0,,,,0,,,0,
15,3184714,0,2.0,,,,0,,,0,
15,3184714,0,2.0,,,,0,,,0,
15,3184518,2,17.0,,,,0,,,0,
15,3184518,2,17.0,,,,0,,,0,
15,3184434,0,4.0,,,,0,,,0,
15,3184434,0,4.0,,,,0,,,0,
15,3184391,0,10.0,,,,0,,,0,
15,3184391,0,10.0,,,,0,,,0,
15,3184506,2,6.0,,,,0,,,0,
15,3184771,31,34.0,,,,0,,,0,
15,3184506,2,6.0,,,,0,,,0,
15,3184771,31,34.0,,,,0,,,0,
15,3184921,20,25.0,,,,0,,,0,
15,3184921,20,25.0,,,,0,,,0,
15,3184921,55,66.0,,,,0,,,0,
15,3184921,55,66.0,,,,0,,,0,
15,3184837,52,65.0,,,,0,,,0,
15,3184837,52,65.0,,,,0,,,0,
15,3184781,62,66.0,,,,0,,,0,
15,3184781,62,66.0,,,,0,,,0,
15,3184597,20,32.0,,,,0,,,0,
15,3184597,20,32.0,,,,0,,,0,
15,3184597,32,36.0,,,,0,,,0,
15,3184597,32,36.0,,,,0,,,0,
15,3184656,61,76.0,,,,0,,,0,
15,3184744,0,4.0,,,,0,,,0,
15,3184744,0,4.0,,,,0,,,0,
15,3184656,61,76.0,,,,0,,,0,
15,3184610,3,12.0,,,,0,,,0,
15,3184739,0,1.0,,,,0,,,0,
15,3184739,0,1.0,,,,0,,,0,
15,3184801,13,16.0,,,,0,,,0,
15,3184801,13,16.0,,,,0,,,0,
15,3184580,0,1.0,,,,0,,,0,
15,3184580,0,1.0,,,,0,,,0,
15,3184422,12,28.0,,,,0,,,0,
15,3184422,12,28.0,,,,0,,,0,
15,3184578,4,9.0,,,,0,,,0,
15,3184578,4,9.0,,,,0,,,0,
15,3184357,46,48.0,,,,0,,,0,
