0,1
Comment_2,clayey ex-mafic sap + ironstone bands
Comment_2,clayey ex-maf sap
Comment_2,clayey ex-shale sap + ferrug horizon
Comments,clayey fabric?
Comment,clayey felsic schist
Comments,CLAYEY FE RICH FRAGS
Comments,CLAYEY FE RICH LATR
Comments,CLAYEY FE RICH LATR MIN SILC
Comment_2,clayey ferruginous fg-cg
Lith_Desc,"clayey, ferruginous laterite"
Comments,clayey ferrugnous
Comment_2,clayey ferrug sap
Comment_2,clayey ferrug ums
Comment_2,clayey fg massive
Comments,clayey fg-mg qtz veined U?
Comments,clayey folaited
Comments,Clayey fractures
Lith_Desc,clayey fragments
Comments,clayey goethitic canga? moist
Comments,clayey & goettulie
Comment_2,clayey graphitic shale
Lith_Desc,Clayey grits/sandstone
Lith_Desc,Clayey grits/sandstones
Comments,clayey & guetlite
Comment,clayey hardpan with minor carbonate cement
Comments,Clayey: heamatite/BIF chips
Comment,CLAYEY (HIGH ASH)
Comments,Clayey:ig rock fragments
Comments,CLAYEY INC IN MAG PISO
Comment,Clayey in parts
Comment,CLAYEY IN PARTS
Comments,CLAYEY IN PISO
Comments,Clayey intercallated seds and reddish chert
Comment,Clayey kaolinitic saprolite
Comment,Clayey kaolin saprolite
Comments,Clayey khaki coloured saprolite
Comments,Clayey khaki saprolite
Comment_2,clayey laminated (foliated?)
Comments,CLAYEY LESS PISO
Comments,"""clayey, limonite, epidote actinolite vein 30%"""
Comments,"clayey,lineated bleached gabbroic sap, slightly foliated"
Lith_Desc,Clayey Ls w/ wfr Mb
Comments,clayey mafic?
Comments,Clayey mafic
Comment_2,clayey mafic qtz veined
Comment,clayey mafic sap
Comments,"clayey mafic sap, micaceous"
Comment_2,clayey mafic saprock
Comments,"clayey mafic saprock, foliated"
Comments,Clayey mafic saprolite
Comment,clayey mafic sap schist
Comment_2,clayey mafic sap + trace micaceous mafic schist
Comments,"clayey mafic sap with mu-alteration, some ferrug mica-schist"
Comments,clayey mafic schist
Comment,clayey mafic schist sap
Comment_2,clayey mafic schist sap + smoky to sugary qz
Comments,CLAYEY MAGHEM RICH LATR
Comments,clayey massive
Comments,Clayey massive - bnd BIF
Comment_2,clayey massive fg-cg
COMMENTS,clayey material with scattered lat nodules
Comment,CLAYEY MATRIX
Comment,"""Clayey matrix, abundant mica flakes, ferugious in parts"""
Comment,"""Clayey matrix, abundant mica flakes, Occasional Carbonaceous Bands, ferruginous at base of unit"""
Comment,"""CLAYEY MATRIX, MICACEOUS, VERY SOFT, EASILY INDENTED WITH FINGERNAIL"""
Comment,"""CLAYEY MATRIX, MICACEOUS, VERY SOFT, EASILY INDENTED WITH FINGERNAIL, COMMON CARBY BANDS"""
Comments,"""clayey metsed, indurated"""
Comments,clayey metsed + weak ironstone
Comments,clayey mg massive
Comments,CLAYEY MIN FRAGS
Comments,CLAYEY MIN FRAGS BK
Comments,CLAYEY MIN MAG PISO
Comment_2,clayey minor calcrete
Comment,"""Clayey, Minor Carby Bands"""
Comments,clayey minor pebbles + pisolites
Lith_Desc,clayey;minor qtz
Comments,clayey minor silcrete
Comments,CLAYEY MIN STR MAG PISO
Comment_2,clayey mixed colluvium alluvium + mnr calcrete
Comments,"clayey, more weathered"
