0,1
Comments,good 1-3mm needles
Comments,good 2-5mm bedded chert with weathered shaley partings
Comments,Good AmClSi alteration
Comments,good angular and embayed clasts
Comments,good angular cemented grains
Comments,good angular clastic texture
Comments,good angularclastic texture
Comments,good angular clastic texture with siliceous matrix
Comments,good angular clasts in siliceous cement
Comments,good angular embayed qtz grains
Comments,good angular sand sized clasts in a siliceous matrix
Comments,good angular silcrete texture
Comments,"""good Au, ore zone"""
Comments,good bedded chert layers; broken and muddy locally; at 252.9 have specular hematite on fracture
Comments,good bedding evident
Comments,good black graphite on water
Comments,good black graphitic shale chips
Comments,good black shale
Comments,good black shale chips
Comments,good black shale with graphite
Comments,"good black shale with graphite, phyllitic"
Comments,good blood red quartzite beds and good bluish riebeckite films as at 415;4
Comments,good brown shales
Comments,Good Ccp
Comments,good cemented clastic texture
Comments,good chert chips
Comments,good chip content
Comments,good chips
Comments,good clastic grains
Comments,good clastic medium grained texture with chloritic wisps
Comments,"good clastic medium grained texture with chloritic wisps, possibly changing into shales"
Comments,good clastic silcrete texture
Comments,good clastic textuere
Comments,good clastic texture
Comments,good clastic  texture
Comments,"good clastic texture, angular fragments"
Comments,"good clastic texture, angular grains"
Comments,good clastic textured secondary deposit
Comments,good clastic texture evident
Comments,good clastic texture in silcreted grains
Comments,good clastic texture with angular grains
Comments,good clastic texture with angular qtz grains
Comments,good clastic texture with minor clay
Comments,Good coarse lump
Comments,Good consistant banding with regular small quartz/silica veinlets
Description,"""Good core recovery, intervals of less and more weathered Czlp present"""
Comments,good dark grey siliceous chips
Comments,good delicate layering
Comments,good diss and veinletpyrite
Comments,Good dissem. Pyrite
Comments,good  enriched Sif
Comments,good fg-mg quartzite
Comments,good fg weathered sandstone
Comments,good fine grained granodiorite
Comments,good flat brown chips
Comments,good flat chips
Comments,good flat fissile shales
Comments,good flat graphitic black shales
Comments,good flat grey shale chips
Comments,good flat phyllitic laminated black shales
Comments,good flat phyllitic shales
Comments,good flat shale chips
Comments,good flat shales
Comments,good flat shales with limonite
Comments,good flat talc schist chips
Comments,good flow fresh non-salty water
Comments,Good foliation visible
Comments,"good ""fragmental texture"""
Comments,good fresh chips
Comments,"""good fresh, hard, massive, med - coarse grained, non magnetic, hackly cleavage"""
Comments,good fresh ultramafic
Comments,"good fresh ultramafic, cherty grey qv"
Comments,good fresh water flow
Comments,good fresh water  flow tsted with bucket through cyclone 20litres in 40secs
Comments,good GOE;  broken ground and wet sample good eturns
Comments,good goe minor silica
Comments,good goethitic chips
Comments,good graphite
Comments,good graphite on water
Comments,good graphitic black shale
Comments,good graphitic black shales with pyrrhotite as veins; films; and bedding parallel lenses; with few narrow zones of shearing with shiney grephitic surfaces
Comments,good graphitic shales
Comments,good gritty chips
Comments,good gritty hard silcrete
Comments,"good gritty sandstone,"
Comments,good hard brown chips
Comments,good hard brown ultramafic chip
Comments,good hard chips
Comments,good hard flat shale chips
Comments,good hard fresh BIF
Comments,good hard goethitic chips
Comments,good hard honey brown chips
Comments,good hard limonitic chips
Comments,good hard magnetic BIF
Comments,good hard magnetic chips
Comments,good hard very fine grained chips
Comments,good hematite
Comments,good hem zone
Comments,good HW chips
Comments,good HW massive UUN chips
Comments,"""good igneous texture, microdiorite"""
Comments,good ironstone
Comments,good jasper
Comments,good jasper beds
Comments,good jasper content
Comments,good jasper - NOTE: jasper rich cherts may possibly represent a marker horizon for correlating from hole to hole
Comments,good large chips
Comments,good large magnetic chips
Comments,good large quartz vein chips
Comments,good large silcrete chips
Comments,good limonite stained quartz
Comments,good looking goethite
Comments,Good lump
Comments,Good lump 20 - 30% fines
Comments,Good lump 20-30% pisolites
Comments,Good Lump 20% pisolite content
Comments,Good lump bearing detritals
Comments,Good Lump detrital
Comments,Good lump detritals
Comments,Good lump & Mag pisolites
Comments,Good lump ore
Comments,Good lump Ore
Comments,Good Lump Ore
Comments,Good lump ore horizon
Comments,Good lump Rb to Yellow coating  of goethite
Comments,Good lump small return
Comments,good mafic with actinolite
Comments,good magnetic BIF
Comments,good magnetic BIF 
Comments,good magnetic chips
Comments,good magnetic hard SCP
Comments,good magnetic SIF chips
Comments,Good Mag+ rock not hard
Comments,good massive brown chips
Comments,good massive chips
Comments,good medium grained sandstone
Comments,good milky quartx
Comments,GOOD MIN.
Comments,good mm scale bedding evident
Comments,Good Mt and Habit: Bedded in Bmm.
Comments,Good Mt. Few times Mt bedded.Big Qv 50cm @ 148.5m.
Comments,Good Mt in thins layers
Comments,"""Good Mt, mod. hard = ore?"""
Comments,Good Mt. Rock hard. High Si. Ep alt in joints.
Comments,"good orange hue, no chips"
Comments,good ore
Comments,Good ore.
Comments,good ore; 1;5mm contorted beds mnt (black);chert(white) and pale green magnetite bearing actinolite;magnetite appears to have undergone recrystalization and enriched easily scratched and can be crushed between fingers. Minor zone of Breccia @ 167.15
Comments,Good ore. BOCO at 88 metres.
Comments,good ore. Mod Mt coarsely bedded. Am alt: Due to Qv?
Comments,Good ore: Mt coarsely bedded. Qv >20cm.
Comments,Good ore:mt strong +crse hab / Sul Tr
Comments,Good ore: Strg Mt finely bedded. Bur rock is hard.Mt sometimes coarsely bedded.
Comments,good ore weakly contorted bedding of 1;5mm enriched magnetite bands; minor sub 1mm chert and magnetite bearing actinolite 1;2mm bands. Minor jasperlite 5mm scale in some bands often distorted in boudin lens with white chert rims.
Comments,good ore weakly contorted bedding with zones of micro faulting. Magnetite enrichment and recrystalization with actinolite forming parrallel beds and in filling fracture planes. 5cm Qtz vein @ 188.5 minor disseminated iron pyrite @ 194.2
Comments,good ore zone
COMMENTS,GOOD PATCH OF PY/PYRROTITE?
COMMENTS,GOOD PATCH OF SULPHIDE
Comments,good poikiloblasts of aegerine augite developed in magnetite rich zones; silica layers are magnetic and contain more magnetite than normal; with irregular riebeckite wisps and clots; bedding planes somewhat diffuse
Comments,GOOD PORPHYRITIC TEXTURES
Lith_Desc,Good potential except for absence of
Comments,good powdery clay with talc
Comments,Good Py
Comments,Good Py AsPy Ccp (dissem)
Comments,good pyrite %
Comments,"good pyrite in chert, 20%"
Comments,good pyrite %; mdo
COMMENTS,good qtz veining
Comments,good quartz grains evident
Comments,good quartz rich sandstone
Comments,good quartz vein zone
Comments,good quartz zvein zone
Comments,good qv zone
Comments,good recovery
Description,"""Good recovery, better RQD, still heavily weathered"""
Comments,good reddish shale chips
Comments,"good red flat chipclastic texture, angular grains"
Comments,good remnant cumulate texture
Comments,good riebeckite development with sharp drop out of aegerine
Comments,Good RQD clay saprolite
Comments,"""Good RQD saprolite, Hw contact= ~36.8m, Fw contact= ~39.3m"""
Comments,"good sample, fresh shales"
Comments,good sandstone
Comments,good sandstone chips
Comments,good sandstone locally
Comments,good sandstonre chips
Comments,good SCP chips
Comments,good serpentine development
Comments,good shale chips
Comments,good shales
Comments,good shales with chips
Comments,good shales with flat Bedding planes
