0,1
Comments,medium to coarse felsic - adamalite granite?
Comments,medium to coarse grained
Comments,medium to coarse grained; fining upwards; massive to crudely stratified
Comment,Medium to coarse grained qtz and feldspar rich rhyodacite clt and se alteration patches dominant with large qtz phenos obvious and altered feldspars obscured by predominantly clt alteration.
Comment,"""MEDIUM TO COARSE GRAINED QUARTZ, FELDSPAR, CHLORITE AMPHIBOLE, MAFIC INTRUSIV? GABBRO????"""
Comment,"""MEDIUM TO COARSE GRAINED QUARTZ, FELDSPAR PEGMATITE"""
Comments,Medium to coarse grained relatively clean sand
Lith_Desc,"Medium to coarse grained saprolite, white + Red Brown in colour"
Comments,MEDIUM TO COARSE GRAINS OF SUB ROUNDED QUARTZ WITH MINOR CLAYS
Comments,MEDIUM TO COARSE GRANITE
Comments,medium to coarse grit with schistose texture and interbedded shale and silty shales
Comments,medium to coarse mafic - magnetic - gabbro
Comments,Medium to coarse pebble alluvium
Comments,medium to dark grey shales and silty shales with some siltstone locally; rock is non magnetic but when scratched the powder produced is magnetic
Comments,medium to dark grey; well bedded with laminated sections; few quartzite beds; local 1;2mm bedding parallel replacements
Comments,medium to dark grey with frequent greenish shale partings; well bedded at 1;4mm scale; @125.55 ; 125.75 well carbonated breccia zone with irregular green chloritic wisps;
Comments,medium to dark grey with magnetite rich dark zones and quartzite beds stretched parallel to bedding and core axis; with wispy straw yellow grunerite; 2% pyrrhotite lenses
Comments,medium to dk grey with 2;3cm quartzite beds that show greater resistance to strian than magnetite rich beds which are wispy; mylonitic looking; with frequent hairline anastomotising grunerite veinlets; 
Major Desc,"""medium to gnh gy, fg, my to syf chloritised and amphibolitised basalt comprising f - act - bt - ch.   Some minor bt - act altn banding."""
Major Desc,"""medium to  light gy, fg, intensely sheared, sy siliceous rock after a possible phc possibly rhyollitic volcanic unit with almost totally sheared out phyenocrysts.  Unit comprises si - q - f - bt  - py. """
Major Desc,"""medium to medium dark bnh gy, syf, fg, bt banded amphibolitised basalt comprising f - act - bt - ch - py - po."""
Major Desc,"""medium to medium dark, fg, syf, chloritised and amphibolitised basalt with fibrous amp - f - ch - py - ep. """
Major Desc,"""medium to medium dark gnh gy, fg, myf, msv, chloritised and amphibolitised basalt with fibrous amp - f - ch - dss py - bt.  Some isloated thin q - py vnt^ tt interval.  Some patches of fg, fibrous to books of pale bn soft mineral (unknown)  between 241.50"""
Major Desc,"""medium to medium-dark gnh gy, fg, my to syf, wky bt banded chloritised and amphibolitised basalt with amp - f - ch - bt  with trace ds py and sugary textured q >> bt - py vnt^ Suspect bad orientation marks, not recording any more structure. """
Major Desc,"""medium to medium-dark gnh gy, fg, my to syf, wky bt banded chloritised and amphibolitised basalt with amp - f - ch - bt  with variable amounts of blebs and stringers of py > po and isolated and thin and sugary textured q >> bt - py vnt^. Suspect bad orien"""
Major Desc,"""medium to medium-dark gnh gy, mg, wy to myf, chloritised and amphibolitised dolerite with f - fibrous act - tm? ch - bt  with up to trace dss py >> po and isolated and thin and sugary textured q >> bt - py vnt^.  Contacts are not sharp and difficult to ac"""
Major Desc,"""medium to medium-dark gnh to reddish bnh gy, fg, my to syf, chloritised and amphibolitised basalt with amp - f - ch - gnt - bt - py.  Bands of wk bt altn and bands of gnt rich layers.  Start of diamond tail."""
Major Desc,"""medium to medium-dark gnh to reddish bnh gy, fg, my to syf, chloritised and amphibolitised basalt with amp - f - ch - gnt - bt - py.  Possible marco bands of bt altn and bands of gnt rich layers.  Nice zone.  Extremely slow RC drilling, and blown shaft in"""
Major Desc,"""medium to medium dark gy, fmg, syf, amphibolitised and chloritised basalt comprising act - f - ch - bt - py."""
Major Desc,"""medium to medium dark gy, fmg, totally sheared phc possibly rhyollitic volcanic unit with totally sheared out phyenocrsts of quartz.  Unit comprises q - f - bt - amp  - py.  Increased shearing is gradational."""
Major Desc,"""medium to medium-light, alluvial clays and fe frags, minor magnetic pis."""
Major Desc,"""medium to medium light, fg, syf, amphibolitised and chloritised basalt comprising f - act - bt - ch AND med-light gy, speckled like, fg, felsic rock, almost schistose comprising f - q - ser - bt - act."""
Major Desc,"""medium to medium-light gnh gy, fmg, myf amphibolitised and chloritised dolerite comprising f - act - tm - ch - bt.  Act is mg and distinctively fibrous.  Has a speckled like appearance.  Contacts are gradiational."""
Major Desc,"""medium to medium-light gnh gy, fmg, syf and bt altered amphibolitised basalt or fg dolerite comprising f - act - bt - amp (pale possible tremolite) - ch - ser?   Diffficult rock to accurately id. Unit has speckled like appearance."""
Major Desc,"""medium to medium-light gnh gy, fmg, syf and bt altered amphibolitised basalt or fg dolerite comprising f - act - tm - bt - ch - py.   Difficult rock to accurately id. Unit has speckled like appearance.  Lower contact is gradational."""
Major Desc,"""medium to medium-light gnh gy, fmg, syf and bt altered amphibolitised basalt or fg dolerite comprising f - act - tm - bt - ch - py.  Unit has speckled like appearance.  upper contact is gradational. Some isolated q - py vn^ sub-parallel to fn."""
Major Desc,"""medium to medium-light gnh gy, fmg, syf and bt altered banded, amphibolitised basalt comprising f - act - bt - amp (pale possible tremolite) - ch - ser?   with stringers of po - cp - py paralleling foliation (up to 10%). Moderately to strongly magnetic."""
Major Desc,"""medium to medium-light gnh gy, fmg, syf and bt altered banded, amphibolitised basalt or fg dolerite comprising f - act - bt - amp (pale possible tremolite) - ch - ser? with stringers of po - py - sph and minor cp paralleling foliation (variably percentage"""
Major Desc,"""medium to medium-light gnh gy, fmg, wyf amphibolitised and chloritised dolerite comprising f - act - tm - ch - bt.  Act is mg and distinctively fibrous."""
Major Desc,"""Medium to medium ligth gnh gy, chloritised amphibolite after basalt or fg dolerite w f - amp - ch and trace ds fg py.  Mark Muller now logging. Banded in places, often associated with thin q vn^ (as sv)"""
Comments,"medium to orange brown, very hard, siliceous, no obvious texture"
Comments,Medium to slightly oxidised quartz gabbro.  Hard slow drilling.
Major Desc,"""medium yw bn, sy weathered, very soft, lower sap with cy - goe - hm."""
Major Desc,"""medium ywh bn to bn, sy weathered, moderately soft, lower sap with cy - goe - hm - bt after a syf, fg, possible basalt."""
Major Desc,"""med-light gnh gy, fmg, myf, amphibolitised and chloritised basalt comprising act - ch - f - py. act fibrous and >70% of rock."""
Major Desc,"""med-light gy, speckled like, fg, felsic rock, almost schistose comprising f - q - ser - bt - act."""
comments,MED MAG
Lith_Desc,med pump staining
Comments,"med to coarse garnet porphroblasts in fine mafic poss dolerite, silicified and foliated"
comments,med to coarse grained.
Comment_2,med to coarser grained equigranular dolerite
Comment,"""med to cs dtl; chilled margins; mildly magnetic throughout, abundant white 1-10mm ca veins"""
Major Desc,"""med to d gn gy, v fg, msv bv, weg decreases slowly dh."""
Comments,Med to F beds of Mag & Diss. Minor Felsic present
Comment,Med to fg pum sdst w se-clt altn.
Comments,med to fine lag gravels
Comments,MED TO FRIABLE
Major Desc,"""med to p gn gy to gy, fol and bdd sed^, posy intd siltstones and cherts w mn bvc debris. the invl appears to be sid and contains mn po and py ds tt and alg fn or bedg suf^."""
Major Desc,"""med to p gn gy to gy, fol and bdd sed^, posy intd siltstones and cherts w mn bvc debris. the invl appears to be sid and contains mn po and py ds tt and alg fn or bedg suf^.
280.52-280.90 invl is my oxd and wed"""
Major Desc,"""med to p gn gy, v fg, msv bv w mn bleaching tt and ch r fn"""
Comment,"""med to thinly bedded slst; rare lam intervals with mod to strongly si alt bands; predom clt alt; minor stringer to patchy po & sp with very minor gn, ccp & py; generally bedding parallel stringer sulphides"""
Comments,megheamite
Comment,"""""""Melange"""" (Almost definitely not an actual melange)"""
Comments,melange of qtz and mafics. sulfide as large clos o
Comments,Melanocratic
Description,Melanocratic AM-CL-MT rich interval
Lith_Desc,Melanocratic e Soft
Description,"""Melanocratic, friable shale, mod./str. Mag."""
Description,"""Melanocratic, friable shale, v. wk. mag., gneissic banding, CH as ppbs"""
Lith_Desc,Melanocratic-metasomatic
Description,"""Melanocratic, minor shale-rich intervals present"""
Description,"""Melanocratic, mod./str. Mag., CH boudins, gneissic foliation"""
Description,"""Melanocratic, non magnetic"""
Lith_Desc,Melanocratic-prolific pyroxene
Lith_Desc,Melanocratic-pyroxene rich +
Lith_Desc,Melanocratic Qtz reef@32m
Description,"""Melanocratic, strongly magnetic, high AM%"""
Description,"""Melanocratic, weak/moderately magnetic, GA ppbs"""
Description,"""Melanocratic, wk./non-mag., CL is straw yellow"""
Lith_Desc,"mel.g.dio?(ch.pyx?,bio,qz)"
Lith_Desc,mel.g.dio?/sil.micac.dol?
Comments,Mesocratic coarse ash tuff/tuffite with 2 cross-cutting Avqt present
Description,"""Mesocratic, gneissic foliation and boudinage, poor RQD, wk. mag."""
Description,"""Mesocratic/leucocratic, higher %CH"""
Description,"""Mesocratic/melanocratic, AM/MT-rich, str. mag. than Hw Aci_E, wispy MT bands"""
Description,"""Mesocratic/melanocratic, slightly oxidised, mod./str. mag."""
Description,"""Mesocratic/melonacratic, Red GA ppbs mod./str. magnetic"""
Comments,"""Mesocratic, non-magnetic QT-AM rich"""
Description,"""Mesocratic, sub-vertical dipping, weak meta. fabric, last MT"""
Description,"""Mesocratic, thick banding, infrequent folding and boudinage, strong fissility, poor RQD"""
COMMENTS,mesocumulate pyroxenite
Major Desc,"""Mesoscopically fdd q vnd, altd and pyritic mc."""
Comments,messed up by shear sub-arallel to core - asp in breccia fill
Comments,messy zone around contact - some veins and minor shears one set sub parallel to core
Desc21,MET
Comment,"""meta-Abt, dominantly made up of bi and cl. Vning is foliation parallel narrow qtz-plg/epi and qrtz epi, often surrounded by more intense cl. Very minor diss py, chalco occasionally with qtz veining. VG removed by john. Large vn of milky quartz at 188.3."""
Lith_Desc,metabasalt
Comments,meta-basalt
Lith_Desc,Metabasalt
Lith_Desc,Meta basalt
Lith_Desc,Meta basalt?
Lith_Desc,Metabasalt?
Lith_Desc,"Metabasalt,1%cp.no gold in pan"
Lith_Desc,"Metabasalt, 3%Mn ox."
Comments,Metabasalt; 54-57m contains 2%pyrite
Lith_Desc,metabasalt.  Aborted at 55m
Lith_Desc,METABASALT amp-rich needley
Lith_Desc,metabasalt. (comment from JSH-no quartz just altn)
Lith_Desc,METABASALT. DIFFICULT DRILLING CONDITIONS. BLOCKY
Lith_Desc,Metabasalt. Dry water bore
Lith_Desc,METABASALT fine grained
Lith_Desc,METABASALT FRESH WITH TRACE PYRITE & DIMINISHED
Comments,"""metabasalt, GWE at 23 m, hard at 28 m"""
Lith_Desc,"Metabasalt, ironstained"
Lith_Desc,METABASALT medium grained
Description,Metabasalt/metadolerite
Comments,"metabasalt - metamorphic amphibole textures, hammered 3-8m to confirm bedrock and not surface silicification/preservation"
Lith_Desc,"Metabasalt, mineralised"
Lith_Desc,metabasalt minimal alteration
Lith_Desc,Metabasalt needley
Lith_Desc,METABASALT NO EPIDOTE. MODERATELY MAGNETIC.
Lith_Desc,METABASALT non sfx local pillows
Lith_Desc,METABASALT non spinifex
Lith_Desc,METABASALT non-spinifex
Lith_Desc,METABASALT not sfx textured
Lith_Desc,"METABASALT not sfx textured, pillowed"
Lith_Desc,Metabasalt oxidised on joint planes minimal
Lith_Desc,METABASALT pillowed non-sfx
Lith_Desc,"Metabasalt, quartz"
Lith_Desc,Metabasalt & quartz massive
Lith_Desc,Metabasalt rock & gn chlorite clays
Comments,"?meta-basalt, siliceous"
Lith_Desc,?meta-basalt  - silicified
Lith_Desc,METABASALT SLIGHTLY SERICITIC. NB. SAMPLE MIX UP
Lith_Desc,Metabasalt spinifex
Lith_Desc,"Metabasalt, spinifex"
Lith_Desc,"Metabasalt, spinifex texture"
Lith_Desc,"Metabasalt,spinifex""texture"""
Lith_Desc,METABASALT spinifex textured
Lith_Desc,Metabasalt to 58m
Lith_Desc,Metabasalt to 74m
Comment_2,metabasalt to dolerite saprock
Lith_Desc,Metabasalt to end of hole
Lith_Desc,"Metabasalt, trace graphite"
Lith_Desc,"Metabasalt,trace graphite,cp"
Lith_Desc,Metabasalt tr graphite?
Lith_Desc,Metabasalt. v altered
