attributecolumn,cet_attributecolumn
attributecolumn,cet_attributecolumn
AMG_RL,rl
Elevation,rl
Orig_RL,rl
RL,rl
RL,rl
"Nominal
RL ",rl
RLLocal,rl
RLOrig,rl
RLSurvMethod,rl
325RL,rl
ACC_RL,rl
ADJ_RL,rl
Adjusted_RL,rl
AGD84_RL,rl
AGD84RL,rl
AGD84Z51_RL,rl
AHD RL,rl
AHD_RL,rl
AHD_RL    N,rl
AHDmRL,rl
AHDRL,rl
AHrl,rl
amg  rl,rl
AMG _RL,rl
AMG RL,rl
AMG_84_RL,rl
AMG_mRL,rl
amg_rl,rl
amg_rl    N,rl
AMG_RL_Mine,rl
AMG66_RL,rl
AMG84_RL,rl
AmgRl,rl
Approx RL,rl
APPROX_AHD_ELEV,rl
Approx_RL,rl
Arbitary_RL,rl
Assumed RL,rl
BASERL,rl
BELL_RL,rl
BEST_COORD_RL,rl
Best_RL,rl
BEST_RL_D,rl
Best_RL_Method,rl
BEST_WGS_RL,rl
BestRl,rl
BestRL_D,rl
Bluebush_RL,rl
Calc_RL,rl
CH_KNO_RL,rl
COL RL,rl
Col_RL,rl
COL_RL_m,rl
COLL_RL,rl
Collar Elevation,rl
Collar RL,rl
Collar RL - AMSL,rl
Collar RL - AMSL+1000,rl
Collar RL (m),rl
Collar_RL,rl
Collar_RL_,rl
CollarLoggedBy,rl
Coobina_RL,rl
Corrected_RL,rl
DB_RL,rl
DEM_RL,rl
design_rl,rl
DGPS Elevation MGA94 Zone 51,rl
DGPS RL,rl
DGPS_RL,rl
DGPS_surveyed RL,rl
Download_RL,rl
DTM RL,rl
DTM_RL,rl
DTMRL,rl
dummy rl,rl
Dummy_RL,rl
ELEV,rl
Elev_Best,rl
Elev_Calc,rl
Elev_Given,rl
Elevaion,rl
Elevat,rl
ELEVAT.,rl
Elevati,rl
Elevatio,rl
Elevation,rl
Elevation  TD,rl
Elevation (m) A.S.L.,rl
Elevation (metres),rl
Elevation (RL),rl
Elevation AHD metres,rl
Elevation AHD_RL,rl
Elevation DTM_RL,rl
Elevation mrl amsl,rl
Elevation_101,rl
Elevation_arbitrary,rl
Elevation_local,rl
Elevation_m,rl
Elevation_metres,rl
Elevation_MGA,rl
Elevation_SRTM90,rl
Elevation_TopOfCasing,rl
ElevationInstrument,rl
ElevationTD,rl
ELEVTYPE,rl
EST_RL,rl
extra_poss_dtm_rl,rl
Final RL,rl
FinalRL,rl
Fnl_RL,rl
GDA_RL,rl
GDA94RL,rl
GDA94Z50_RL,rl
GDARL,rl
Geo_RL,rl
GPS_RL,rl
GRD_ELEV,rl
GRID_RL,rl
GridRL,rl
H50_rl,rl
HEAD_RL,rl
Height(RL),rl
HIST_RL,rl
HSG_DEM_RL,rl
ï¿½RL,rl
JNCT_RL,rl
KB_RL,rl
KNO_RL,rl
Lidar_RL,rl
LL_RL,rl
LLRL,rl
LLWGS84_RL,rl
Loc RL,rl
LOC_NICH_RL,rl
LOC_RL,rl
Local RL,rl
Local RL KNO,rl
Local RL Zone29,rl
LOCAL_ELEV,rl
Local_Elevation,rl
LOCAL_RL,rl
Local_RL_Mine,rl
Local_RL_RL,rl
Local_WIL10_RL,rl
Local_WIL50_RL,rl
Local2_RL,rl
LocalRL,rl
LocalRL_1,rl
LOCALTrans_RL,rl
LOCATION RL estimated,rl
LocRL,rl
MAG_Elevation,rl
Mariners_RL,rl
MGA RL,rl
MGA_Elev,rl
MGA_Elevation,rl
MGA_RL,rl
MGA_RL_Z,rl
MGA_Z50_RL,rl
MGA_Z51_RL,rl
MGA50GDA94_mRL,rl
MGA94_RL,rl
MGA94dtmRL,rl
MGA94RL,rl
MGARL,rl
MINE_RL,rl
mRL,rl
mRL*,rl
mRL_AHD,rl
mRL_DTM,rl
mRL_LOC,rl
mRL_LOC_m,rl
mRL_MGA,rl
mRL_Nominal,rl
MTC_RL,rl
NAT RL,rl
NAT_RL,rl
NAT_RL_By,rl
NAT_RL_Date,rl
NAT_RL_Method,rl
NAT_RL_MINE,rl
NAVDTMRL,rl
NewDEM RL,rl
Nom RL,rl
Nom_RL,rl
Nominal RL,rl
Nominal_ RL,rl
Nominal_RL,rl
NominalRL,rl
NomRL,rl
OldDEM_RL,rl
oreig_rl,rl
Orig RL,rl
Orig_Reg_RL,rl
Orig_RL,rl
Orig_RL_Method,rl
Orig_RL_Survey_Method,rl
Orig_RL_Type,rl
Orig_Survey_ByT_Grid_IDT_EastT_NorthT_RL,rl
Original RL,rl
Original_RL,rl
OriginalRL,rl
OrigRL,rl
PMPL_RL,rl
PNC_RL,rl
PREF_RL,rl
Primary_RL,rl
Priority_RL,rl
Project_RL,rl
ProspectProject_code Drill_code EASTING NORTHING rl,rl
Raw_RL,rl
Re RL,rl
Real RL,rl
ref _RL,rl
Ref RL,rl
ref_mRL,rl
ref_mRL   N,rl
ref_rl,rl
RefElev,rl
Reg_Local_RL,rl
Reg_RL,rl
ReginalDTM_RL,rl
Region_rl,rl
RegRL,rl
Rel_RL,rl
RL,rl
RL        n  9  2,rl
RL   9,rl
RL - ASL (m),rl
RL (AHD),rl
RL (AHD) Sea Floor,rl
RL (Arb),rl
RL (assumed),rl
RL (m),rl
RL AHD,rl
RL DGPS - PNC,rl
RL DTM,rl
RL GPS,rl
Rl Nat,rl
RL survey,rl
RL(m),rl
RL(nom.),rl
RL_ Nom,rl
RL__AMSL,rl
RL__Nom,rl
RL_1dgps,rl
RL_2dem,rl
RL_Accuracy,rl
